	BodyShapeI	Length	Environment	Habitat	DepthRangeShallow	DepthRangeDeep	ReproMode	Fertilization	RepGuild1
Anabas testudineus	fusiform/normal	25	brack/fresh	demersal	0	NA	dioecism	external	guarders
Anacanthus barbatus	elongated	35	saltwater/brack	reef-associated	2	20	NA	NA	NA
Anampses caeruleopunctatus	fusiform/normal	42	saltwater	reef-associated	3	30	dioecism	external	nonguarders
Anampses elegans	fusiform/normal	29	saltwater	reef-associated	2	35	dioecism	external	nonguarders
Anampses femininus	fusiform/normal	24	saltwater	reef-associated	10	30	dioecism	external	nonguarders
Anampses geographicus	fusiform/normal	31	saltwater	reef-associated	1	25	protogyny	external	nonguarders
Anampses lennardi	shortand/ordeep	28	saltwater	reef-associated	NA	24	dioecism	external	nonguarders
Anampses lineatus	fusiform/normal	13	saltwater	reef-associated	10	45	dioecism	external	nonguarders
Anampses melanurus	fusiform/normal	12	saltwater	reef-associated	15	40	dioecism	external	nonguarders
Anampses meleagrides	fusiform/normal	22	saltwater	reef-associated	3	60	dioecism	external	nonguarders
Anampses neoguinaicus	fusiform/normal	20	saltwater	reef-associated	4	30	dioecism	external	nonguarders
Anampses twistii	fusiform/normal	18	saltwater	reef-associated	5	30	dioecism	external	nonguarders
Anarchias cantonensis	eel-like	21.89999962	saltwater	reef-associated	NA	NA	NA	NA	NA
Anarchias galapagensis	eel-like	17	saltwater	demersal	NA	25	NA	NA	NA
Anarchias schultzi	eel-like	15.89999962	saltwater	reef-associated	1	25	NA	NA	NA
Anarchias seychellensis	eel-like	29	saltwater	reef-associated	0	35	NA	NA	NA
Anarchias similis	eel-like	20	saltwater	reef-associated	0	200	dioecism	NA	nonguarders
Anarchopterus criniger	eel-like	10	saltwater	demersal	NA	NA	dioecism	inbroodpouchorsimilarstructure	bearers
Anarchopterus tectus	eel-like	12.5	saltwater	demersal	NA	NA	dioecism	inbroodpouchorsimilarstructure	bearers
Anarhichas denticulatus	elongated	180	saltwater	benthopelagic	60	1700	NA	NA	NA
Anarhichas lupus	elongated	150	saltwater	demersal	1	600	dioecism	internal(oviduct)	guarders
Anchichoerops natalensis	fusiform/normal	75	saltwater	reef-associated	NA	60	dioecism	external	nonguarders
Anchoa argentivittata	elongated	12.5	saltwater	pelagic-neritic	0	50	dioecism	external	nonguarders
Anchoa cayorum	elongated	11	saltwater	pelagic-oceanic	NA	NA	dioecism	external	nonguarders
Anchoa colonensis	elongated	14	saltwater	pelagic-neritic	0	50	dioecism	external	nonguarders
Anchoa cubana	elongated	10	saltwater	pelagic-neritic	0	60	dioecism	external	nonguarders
Anchoa eigenmannia	elongated	8	saltwater	pelagic-neritic	0	50	dioecism	external	nonguarders
Anchoa exigua	elongated	7.5	saltwater	pelagic-neritic	0	50	dioecism	external	nonguarders
Anchoa hepsetus	elongated	15.30000019	saltwater/brack	pelagic-neritic	1	70	dioecism	external	nonguarders
Anchoa ischana	elongated	17	saltwater	pelagic-neritic	0	50	dioecism	external	nonguarders
Anchoa lamprotaenia	elongated	12	saltwater	pelagic-neritic	0	50	dioecism	external	nonguarders
Anchoa lyolepis	elongated	12	saltwater	reef-associated	1	54	dioecism	external	nonguarders
Anchoa mitchilli	elongated	10	saltwater/brack/fresh	pelagic-neritic	1	70	dioecism	external	nonguarders
Anchoa mundeoloides	elongated	15	saltwater	pelagic-neritic	NA	10	dioecism	external	nonguarders
Anchoa nasus	elongated	17	saltwater/brack	pelagic-neritic	0	142	dioecism	external	nonguarders
Anchoa panamensis	elongated	18.70000076	saltwater/brack	pelagic-neritic	0	50	dioecism	external	nonguarders
Anchovia macrolepidota	elongated	25	saltwater/brack	pelagic-neritic	0	50	dioecism	external	nonguarders
Anchoviella perfasciata	elongated	11	saltwater	pelagic-neritic	0	50	dioecism	external	nonguarders
Ancylopsetta dendritica	shortand/ordeep	35	saltwater	demersal	18	100	dioecism	external	nonguarders
Ancylopsetta quadrocellata	shortand/ordeep	25	saltwater	demersal	4	110	dioecism	external	nonguarders
Andamia amphibius	Elongated	NA	saltwater	demersal	0	2	dioecism	external	guarders
Anguilla anguilla	eel-like	121.5	saltwater/brack/fresh	demersal	0	700	dioecism	external	nonguarders
Anguilla australis	eel-like	130	saltwater/brack/fresh	benthopelagic	0	3000	dioecism	external	nonguarders
Anguilla bengalensis	eel-like	200	saltwater/brack/fresh	benthopelagic	NA	NA	dioecism	external	nonguarders
Anguilla bicolor	eel-like	123	saltwater/brack/fresh	demersal	NA	NA	dioecism	external	nonguarders
Anguilla labiata	eel-like	175	saltwater/brack/fresh	demersal	NA	NA	dioecism	external	nonguarders
Anguilla marmorata	eel-like	70	saltwater/brack/fresh	demersal	1	400	dioecism	external	nonguarders
Anguilla megastoma	eel-like	100	saltwater/brack/fresh	demersal	0	3000	dioecism	external	nonguarders
Anguilla mossambica	eel-like	150	saltwater/brack/fresh	demersal	NA	NA	dioecism	external	nonguarders
Anguilla nebulosa	eel-like	121	saltwater/brack/fresh	demersal	3	10	dioecism	external	nonguarders
Anguilla obscura	eel-like	110	saltwater/brack/fresh	demersal	NA	3000	dioecism	external	nonguarders
Anguilla reinhardtii	eel-like	165	saltwater/brack/fresh	demersal	0	3000	dioecism	external	nonguarders
Anguilla rostrata	eel-like	152	saltwater/brack/fresh	demersal	0	464	dioecism	external	nonguarders
Anisotremus caesius	shortand/ordeep	30	saltwater	demersal	NA	NA	dioecism	external	nonguarders
Anisotremus espinozai	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anisotremus interruptus	shortand/ordeep	51	saltwater	reef-associated	3	30	dioecism	external	nonguarders
Anisotremus perezponcedeleoni	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anisotremus scapularis	shortand/ordeep	58	saltwater	reef-associated	3	30	dioecism	external	nonguarders
Anisotremus surinamensis	shortand/ordeep	76	saltwater	reef-associated	0	70	dioecism	external	nonguarders
Anisotremus taeniatus	shortand/ordeep	31	saltwater	demersal	NA	NA	dioecism	external	nonguarders
Anisotremus virginicus	shortand/ordeep	40.59999847	saltwater	reef-associated	2	70	dioecism	external	nonguarders
Anodontostoma chacunda	fusiform/normal	22	saltwater/brack/fresh	pelagic-neritic	0	50	dioecism	external	nonguarders
Anodontostoma thailandiae	fusiform/normal	18	saltwater/brack	pelagic-neritic	0	50	NA	NA	NA
Anomalops katoptron	fusiform/normal	35	saltwater	reef-associated	2	400	NA	NA	NA
Anoplocapros inermis	shortand/ordeep	37	saltwater	demersal	10	300	NA	NA	NA
Anoplocapros lenticularis	shortand/ordeep	33	saltwater	demersal	10	220	NA	NA	NA
Anoplogaster cornuta	shortand/ordeep	18	saltwater	bathypelagic	2	4992	dioecism	external	nonguarders
Anotopterus pharao	elongated	96	saltwater	bathypelagic	0	5100	NA	NA	NA
Anotopterus vorax	elongated	105	saltwater	bathypelagic	0	2579	NA	NA	NA
Anoxypristis cuspidata	elongated	470	saltwater/brack/fresh	benthopelagic	0	40	dioecism	internal(oviduct)	bearers
Antennablennius australis	elongated	7	saltwater	demersal	NA	NA	dioecism	external	guarders
Antennablennius bifilum	elongated	7.5	saltwater	demersal	18	37	dioecism	external	guarders
Antennablennius simonyi	elongated	5.5	saltwater	demersal	NA	NA	dioecism	external	guarders
Antennarius biocellatus	shortand/ordeep	14	saltwater/brack	demersal	0	10	dioecism	external	nonguarders
Antennarius commerson	shortand/ordeep	45	saltwater	reef-associated	0	70	dioecism	external	nonguarders
Antennarius hispidus	shortand/ordeep	20	saltwater	reef-associated	0	90	dioecism	external	nonguarders
Antennarius maculatus	shortand/ordeep	15	saltwater	reef-associated	1	15	dioecism	external	nonguarders
Antennarius multiocellatus	shortand/ordeep	20	saltwater	reef-associated	0	66	dioecism	external	nonguarders
Antennarius pauciradiatus	shortand/ordeep	6.300000191	saltwater	reef-associated	6	73	dioecism	external	nonguarders
Antennarius pictus	shortand/ordeep	30	saltwater	reef-associated	0	75	dioecism	external	nonguarders
Antennarius striatus	shortand/ordeep	25	saltwater/brack	reef-associated	10	219	dioecism	external	nonguarders
Antennatus linearis	shortand/ordeep	7.5	saltwater	demersal	4	33	dioecism	external	nonguarders
Antennatus strigatus	shortand/ordeep	8	saltwater	demersal	0	38	dioecism	external	nonguarders
Antennatus tuberosus	shortand/ordeep	9	saltwater	reef-associated	0	73	dioecism	external	nonguarders
Anthias anthias	fusiform/normal	27	saltwater	reef-associated	NA	300	dioecism	external	nonguarders
Anthias nicholsi	fusiform/normal	25	saltwater	benthopelagic	0	430	dioecism	external	nonguarders
Anthias noeli	fusiform/normal	29	saltwater	reef-associated	184	351	dioecism	external	nonguarders
Antigonia capros	shortand/ordeep	30.5	saltwater	demersal	50	900	NA	NA	NA
Antigonia combatia	shortand/ordeep	15	saltwater	bathydemersal	115	585	NA	NA	NA
Antigonia malayana	shortand/ordeep	6.699999809	saltwater	demersal	165	304	NA	NA	NA
Antigonia rubescens	shortand/ordeep	15	saltwater	benthopelagic	50	750	NA	NA	NA
Antimora rostrata	elongated	75	saltwater	bathypelagic	350	3000	NA	NA	NA
Anyperodon leucogrammicus	fusiform/normal	65	saltwater	reef-associated	5	80	protogyny	external	nonguarders
Apagesoma australe	elongated	59.5	saltwater	benthopelagic	NA	4275	dioecism	external	nonguarders
Aphaniops dispar	fusiform/normal	7	saltwater/brack/fresh	benthopelagic	NA	NA	dioecism	external	nonguarders
Aphanius fasciatus	fusiform/normal	6	saltwater/brack/fresh	benthopelagic	NA	NA	dioecism	external	nonguarders
Aphanopus carbo	eel-like	151	saltwater	bathypelagic	200	2300	dioecism	external	nonguarders
Aphanopus intermedius	eel-like	148	saltwater	benthopelagic	300	1408	dioecism	external	nonguarders
Aphareus furca	fusiform/normal	70	saltwater	reef-associated	1	122	dioecism	external	nonguarders
Aphareus rutilans	fusiform/normal	110	saltwater	reef-associated	100	330	dioecism	external	nonguarders
Aphia minuta	elongated	7.900000095	saltwater/brack	pelagic-neritic	0	97	dioecism	external	guarders
Aphyonus gelatinosus	elongated	15	saltwater	bathydemersal	900	2562	dioecism	internal(oviduct)	bearers
Apistus carinatus	fusiform/normal	20	saltwater	demersal	14	60	NA	NA	NA
Apletodon dentatus	elongated	4	saltwater	demersal	NA	NA	NA	NA	NA
Apletodon incognitus	elongated	2.720000029	saltwater	demersal	2	19	NA	NA	NA
Aploactis aspera	elongated	10	saltwater	demersal	1	10	NA	NA	NA
Aploactisoma milesii	elongated	23	saltwater	benthopelagic	0	6	NA	NA	NA
Aplocheilus panchax	fusiform/normal	9	brack/fresh	benthopelagic	NA	NA	dioecism	external	nonguarders
Aplodactylus etheridgii	elongated	45	saltwater	reef-associated	6	20	NA	NA	NA
Apocryptes bato	elongated	26	saltwater/brack/fresh	demersal	NA	NA	NA	NA	NA
Apocryptodon madurensis	elongated	9	saltwater/brack/fresh	demersal	0	NA	NA	NA	NA
Apodocreedia vanderhorsti	eel-like	8	saltwater	benthopelagic	0	16	NA	NA	NA
Apogon americanus	shortand/ordeep	10.10000038	saltwater	demersal	0	70	dioecism	external	bearers
Apogon atradorsatus	fusiform/normal	8.899999619	saltwater	reef-associated	3	46	dioecism	external	bearers
Apogon atricaudus	fusiform/normal	8	saltwater	reef-associated	9	30	dioecism	external	bearers
Apogon aurolineatus	NA	6.5	saltwater	reef-associated	1	75	dioecism	external	bearers
Apogon binotatus	fusiform/normal	13	saltwater	reef-associated	1	60	dioecism	external	bearers
Apogon campbelli	Elongated	3.859999895	saltwater	reef-associated	NA	NA	NA	NA	NA
Apogon caudicinctus	fusiform/normal	6.429999828	saltwater	reef-associated	0	12	dioecism	external	bearers
Apogon coccineus	fusiform/normal	6	saltwater	reef-associated	8	35	dioecism	external	bearers
Apogon crassiceps	shortand/ordeep	5	saltwater	reef-associated	18	55	dioecism	external	bearers
Apogon doryssa	shortand/ordeep	8	saltwater	reef-associated	4	21	dioecism	external	bearers
Apogon dovii	fusiform/normal	7.5	saltwater	reef-associated	NA	NA	dioecism	external	bearers
Apogon erythrinus	shortand/ordeep	4.010000229	saltwater	reef-associated	1	48	dioecism	external	bearers
Apogon erythrosoma	fusiform/normal	3.75999999	saltwater	reef-associated	NA	NA	NA	NA	NA
Apogon fugax	NA	NA	NA	NA	NA	NA	NA	NA	NA
Apogon guadalupensis	fusiform/normal	13	saltwater	demersal	9	18	dioecism	external	bearers
Apogon imberbis	fusiform/normal	15	saltwater	reef-associated	10	200	dioecism	internal(oviduct)	bearers
Apogon indicus	shortand/ordeep	3.789999962	saltwater	demersal	6	8	dioecism	external	bearers
Apogon lachneri	fusiform/normal	6.5	saltwater	reef-associated	5	70	dioecism	external	bearers
Apogon leptocaulus	Elongated	6	saltwater	reef-associated	20	30	dioecism	external	bearers
Apogon maculatus	fusiform/normal	11.10000038	saltwater	reef-associated	0	128	dioecism	external	bearers
Apogon mosavi	Elongated	NA	saltwater	benthopelagic	NA	NA	dioecism	external	bearers
Apogon nitidus	fusiform/normal	8	saltwater	reef-associated	10	15	dioecism	external	bearers
Apogon pacificus	fusiform/normal	10	saltwater	reef-associated	0	30	dioecism	external	bearers
Apogon phenax	shortand/ordeep	7.5	saltwater	reef-associated	3	50	dioecism	external	bearers
Apogon pillionatus	Elongated	6.5	saltwater	reef-associated	15	90	dioecism	external	bearers
Apogon planifrons	fusiform/normal	10.5	saltwater	reef-associated	3	30	dioecism	external	bearers
Apogon pseudomaculatus	fusiform/normal	11	saltwater	reef-associated	1	100	dioecism	external	bearers
Apogon quadrisquamatus	fusiform/normal	7	saltwater	reef-associated	1	75	dioecism	external	bearers
Apogon retrosella	fusiform/normal	10	saltwater	reef-associated	NA	60	dioecism	external	bearers
Apogon robbyi	shortand/ordeep	3.589999914	saltwater	demersal	1	30	dioecism	external	bearers
Apogon robinsi	fusiform/normal	10.10000038	saltwater	reef-associated	NA	NA	dioecism	external	bearers
Apogon semiornatus	shortand/ordeep	7.5	saltwater	reef-associated	5	30	dioecism	external	bearers
Apogon susanae	Elongated	3.950000048	saltwater	demersal	3	6	dioecism	external	bearers
Apogon talboti	shortand/ordeep	14	saltwater	reef-associated	0	37	dioecism	external	bearers
Apogon townsendi	fusiform/normal	6.5	saltwater	reef-associated	3	55	dioecism	external	bearers
Apogonichthyoides atripes	shortand/ordeep	9	saltwater	demersal	6	30	dioecism	external	bearers
Apogonichthyoides brevicaudatus	shortand/ordeep	19.5	saltwater	benthopelagic	10	35	dioecism	external	bearers
Apogonichthyoides chrysurus	fusiform/normal	4	saltwater	reef-associated	NA	NA	dioecism	external	bearers
Apogonichthyoides euspilotus	shortand/ordeep	5.949999809	saltwater	reef-associated	0	2	NA	NA	NA
Apogonichthyoides nigripinnis	shortand/ordeep	10	saltwater	reef-associated	1	50	dioecism	external	bearers
Apogonichthyoides pharaonis	fusiform/normal	9.5	saltwater	demersal	0	2	NA	NA	NA
Apogonichthyoides pseudotaeniatus	fusiform/normal	14	saltwater	reef-associated	NA	NA	dioecism	external	bearers
Apogonichthyoides sialis	shortand/ordeep	14	saltwater	demersal	8	15	NA	NA	NA
Apogonichthyoides taeniatus	shortand/ordeep	17	saltwater	reef-associated	5	20	dioecism	external	bearers
Apogonichthyoides timorensis	shortand/ordeep	9	saltwater	reef-associated	1	15	dioecism	external	bearers
Apogonichthys ocellatus	shortand/ordeep	6	saltwater	reef-associated	1	5	dioecism	external	bearers
Apogonichthys perdix	shortand/ordeep	6	saltwater	reef-associated	1	65	dioecism	external	bearers
Apolemichthys kingi	shortand/ordeep	21	saltwater	reef-associated	23	30	NA	NA	NA
Apolemichthys trimaculatus	shortand/ordeep	26	saltwater	reef-associated	3	60	NA	NA	NA
Apolemichthys xanthotis	shortand/ordeep	20	saltwater	reef-associated	10	35	NA	NA	NA
Aporops bilinearis	fusiform/normal	9.899999619	saltwater	reef-associated	1	15	protogyny	external	nonguarders
Aprion virescens	fusiform/normal	112	saltwater	reef-associated	0	180	dioecism	external	nonguarders
Apristurus albisoma	elongated	59.59999847	saltwater	bathydemersal	935	1564	dioecism	internal(oviduct)	nonguarders
Apristurus breviventralis	elongated	48.5	saltwater	pelagic-oceanic	1000	1120	NA	NA	NA
Aprognathodon platyventris	eel-like	46	saltwater	reef-associated	0	17	dioecism	external	nonguarders
Apterichtus equatorialis	eel-like	31.20000076	saltwater	demersal	10	134	NA	NA	NA
Apterichtus kendalli	eel-like	60	saltwater	demersal	3	400	NA	NA	NA
Apterichtus klazingai	eel-like	40	saltwater	demersal	1	120	NA	NA	NA
Aptychotrema rostrata	other	100	saltwater/brack	demersal	NA	220	dioecism	internal(oviduct)	bearers
Aptychotrema vincentiana	other	84	saltwater	demersal	NA	125	NA	NA	NA
Aracana aurita	shortand/ordeep	20	saltwater	demersal	10	200	NA	NA	NA
Archamia bleekeri	shortand/ordeep	12.60000038	saltwater	reef-associated	10	30	dioecism	external	bearers
Archosargus probatocephalus	shortand/ordeep	91	saltwater/brack	reef-associated	15	NA	NA	NA	NA
Archosargus rhomboidalis	shortand/ordeep	33	saltwater/brack	reef-associated	1	40	dioecism	external	nonguarders
Arcos decoris	elongated	2.799999952	saltwater	demersal	NA	NA	NA	NA	NA
Arcos nudus	elongated	9	saltwater/brack	reef-associated	NA	NA	NA	NA	NA
Arcos poecilophthalmos	elongated	5	saltwater	reef-associated	5	30	NA	NA	NA
Arcos rhodospilus	elongated	5	saltwater	demersal	NA	NA	NA	NA	NA
Arctozenus australis	elongated	31.60000038	saltwater	bathypelagic	160	800	NA	NA	NA
Arctozenus risso	elongated	30	saltwater	bathypelagic	0	2200	truehermaphroditism	external	nonguarders
Argentina aliceae	elongated	15	saltwater	demersal	97	300	dioecism	external	nonguarders
Argentina euchus	elongated	15	saltwater	bathydemersal	NA	590	dioecism	external	nonguarders
Argentina sphyraena	elongated	35	saltwater	bathydemersal	50	700	dioecism	external	nonguarders
Argentina striata	elongated	24	saltwater	bathypelagic	100	600	dioecism	external	nonguarders
Argentinolycus elongatus	elongated	14.69999981	saltwater	demersal	0	40	NA	NA	NA
Argyripnus iridescens	elongated	14	saltwater	bathypelagic	NA	NA	NA	NA	NA
Argyropelecus aculeatus	shortand/ordeep	8.300000191	saltwater	bathypelagic	100	2056	dioecism	NA	NA
Argyropelecus affinis	shortand/ordeep	8.399999619	saltwater	bathypelagic	1	3872	dioecism	external	nonguarders
Argyropelecus gigas	shortand/ordeep	12	saltwater	bathypelagic	300	1000	dioecism	NA	NA
Argyropelecus hemigymnus	shortand/ordeep	5.099999905	saltwater	bathypelagic	0	2400	dioecism	external	nonguarders
Argyropelecus lychnus	shortand/ordeep	5.900000095	saltwater	bathypelagic	150	700	dioecism	external	nonguarders
Argyropelecus olfersii	shortand/ordeep	9	saltwater	bathypelagic	100	800	NA	NA	NA
Argyropelecus sladeni	shortand/ordeep	8.300000191	saltwater	bathypelagic	0	2926	dioecism	external	nonguarders
Argyrops bleekeri	shortand/ordeep	50	saltwater/brack	demersal	50	200	NA	NA	NA
